year,fips,prcp,avtemp
2e3,53073.0,1636.3735444768897,6.241493758126139
2e3,23003.0,1038.7361301243452,3.7211808106305666
2e3,27077.0,710.800575210109,3.501072225426183
2e3,23021.0,1099.377340972739,3.8278328856778523
2e3,23025.0,1107.7738553493143,3.9016899290702325
2e3,27135.0,748.1539718418906,3.7686583914168894
2e3,27071.0,670.2290711411245,3.519823485623308
2e3,27137.0,695.0543175594163,3.254776765648537
2e3,27007.0,685.2569920819504,3.9105213033525565
2e3,26083.0,641.56110084663,4.798576985375356
2e3,27031.0,783.4960403442383,2.6836425041158996
2e3,27075.0,718.511820376498,3.1433437564998
2e3,27113.0,615.218737902942,4.229366749256581
2e3,23007.0,1258.944050508387,3.823604982273251
2e3,27029.0,713.3542787276488,4.014703870457124
2e3,27125.0,612.10418701171875,4.4073023352512095
2e3,27061.0,716.777380579563,4.053733162454681
2e3,23017.0,1220.5167296389316,4.931567596628311
2e3,33007.0,1332.1896583725602,3.607037459356176
2e3,27087.0,729.3149463383838,4.51183208311447
2e3,26061.0,709.3404651664154,5.474826494852702
2e3,27021.0,722.0383680266973,4.7641628245089915
2e3,27057.0,750.6258200090484,4.411212358097572
2e3,23011.0,1135.4092635640338,6.702766614457581
2e3,50009.0,1268.3824324407497,3.9887090290293976
2e3,26131.0,764.0942073707416,5.1077857651935625
2e3,26013.0,822.9787806068979,4.680926570078221
2e3,50019.0,1312.4539558656754,4.656203635277286
2e3,27005.0,733.934877225054,4.909403442367306
2e3,26103.0,755.2883332223603,4.851683713450576
2e3,26003.0,798.9853354612011,5.574251014030784
2e3,55007.0,749.6810987067945,5.145491171966899
2e3,27001.0,671.1760690368478,4.924904417108606
2e3,50011.0,1147.6065128871373,6.14026894739696
2e3,23001.0,1152.497112358941,6.665631940629747
2e3,23015.0,1141.6974676724137,7.165553191612506
2e3,50013.0,954.8668561662946,7.013103594098772
2e3,50005.0,1170.958986070421,4.3539490743919655
2e3,36019.0,1013.2638117068659,6.120272497651438
2e3,26053.0,801.2468956256735,4.532110411545326
2e3,26153.0,660.2092109147892,6.031581004830294
2e3,50015.0,1307.1861308704722,4.850763231515884
2e3,55031.0,698.2039736185113,5.0216178534918745
2e3,27035.0,677.8828418208103,5.085246929935381
2e3,27017.0,704.2931260002983,4.862171871794595
2e3,27159.0,658.542802734375,4.947879595756531
2e3,36033.0,1242.3438831676137,4.9951560288876085
2e3,55003.0,798.2356397052143,4.696930486102437
2e3,23023.0,1131.3813368055555,6.958281495836046
2e3,27111.0,680.0783825015548,5.515028493321357
2e3,55051.0,812.3373516307157,4.5304387457230515
2e3,36089.0,1160.3836522193471,5.911078909653261
2e3,50007.0,1088.5616720694084,6.300871158087695
2e3,26071.0,725.9134518747372,4.102034192448774
2e3,33003.0,1272.262235084676,5.9451118093099655
